Rank,Symbol,Name,Price (USD),Market Cap (USD)
1,BTC,Bitcoin,110017.0,2194977601648
2,ETH,Ethereum,3895.3,470301348629
3,USDT,Tether,1.0,183369700556
4,BNB,BNB,1121.04,154526467203
5,XRP,XRP,2.56,153567027273
6,SOL,Solana,191.99,105591039417
7,USDC,USDC,1.0,76325762992
8,STETH,Lido Staked Ether,3896.01,33494219475
9,DOGE,Dogecoin,0.19,28688132461
10,TRX,TRON,0.3,28083179635
11,ADA,Cardano,0.63,23184084601
12,WSTETH,Wrapped stETH,4744.86,15873708940
13,WBTC,Wrapped Bitcoin,110130.0,13961721265
14,WBETH,Wrapped Beacon ETH,4208.55,13741460858
15,FIGR_HELOC,Figure Heloc,1.0,13324040297
16,HYPE,Hyperliquid,48.32,13088630579
17,LINK,Chainlink,17.86,12466513644
18,BCH,Bitcoin Cash,564.87,11269164457
19,WEETH,Wrapped eETH,4208.88,10395525239
20,XLM,Stellar,0.31,9975968697
21,USDE,Ethena USDe,1.0,9612224428
22,USDS,USDS,1.0,9116970917
23,BSC-USD,Binance Bridged USDT (BNB Smart Chain),1.0,8985156295
24,SUI,Sui,2.44,8871333331
25,LEO,LEO Token,9.59,8847817974
26,HBAR,Hedera,0.2,8670147281
27,WETH,WETH,3897.44,8652703962
28,AVAX,Avalanche,19.36,8263025358
29,CBBTC,Coinbase Wrapped BTC,110087.0,7825465437
30,LTC,Litecoin,96.92,7416636349
31,USDT0,USDT0,1.0,6798976349
32,WBT,WhiteBIT Coin,41.84,6029477606
33,XMR,Monero,326.28,6019974619
34,ZEC,Zcash,358.65,5886841949
35,SHIB,Shiba Inu,0.0,5885367733
36,TON,Toncoin,2.19,5530459993
37,CRO,Cronos,0.15,5274531986
38,SUSDE,Ethena Staked USDe,1.2,5077512535
39,MNT,Mantle,1.56,5071894855
40,DAI,Dai,1.0,4665532649
41,DOT,Polkadot,3.01,4586779423
42,M,MemeCore,2.47,4190292221
43,TAO,Bittensor,430.9,4143293856
44,WLFI,World Liberty Financial,0.14,3809424459
45,UNI,Uniswap,6.02,3616199657
46,SUSDS,sUSDS,1.07,3482601086
47,AAVE,Aave,224.77,3430498336
48,OKB,OKB,154.83,3252040098
49,BGB,Bitget Token,4.62,3234100944
50,ENA,Ethena,0.42,3006298485
51,USD1,USD1,1.0,2976386097
52,PEPE,Pepe,0.0,2861837180
53,BUIDL,BlackRock USD Institutional Digital Liquidity Fund,1.0,2853881402
54,NEAR,NEAR Protocol,2.21,2828957020
55,PYUSD,PayPal USD,1.0,2827236855
56,JITOSOL,Jito Staked SOL,237.93,2715138148
57,SOL,Wrapped SOL,191.97,2479812122
58,ETC,Ethereum Classic,15.8,2438236447
59,APT,Aptos,3.38,2436759136
60,WETH,Binance-Peg WETH,3899.87,2358425282
61,ONDO,Ondo,0.72,2269915362
62,JLP,Jupiter Perpetuals Liquidity Provider Token,5.48,2252903209
63,PI,Pi Network,0.26,2117568547
64,USDF,Falcon USD,1.0,2110067046
65,XAUT,Tether Gold,3972.31,2074497891
66,ASTER,Aster,1.01,2035003706
67,POL,POL (ex-MATIC),0.19,2032804555
68,WLD,Worldcoin,0.84,1889221961
69,USDTB,USDtb,1.0,1828989309
70,RETH,Rocket Pool ETH,4471.16,1737417174
71,PUMP,Pump.fun,0.0,1735493979
72,HTX,HTX DAO,0.0,1723191790
73,KCS,KuCoin,13.24,1719527106
74,KHYPE,Kinetiq Staked HYPE,48.47,1714705011
75,ARB,Arbitrum,0.31,1708245106
76,BNSOL,Binance Staked SOL,207.32,1693854377
77,TRUMP,Official Trump,8.24,1656991525
78,ICP,Internet Computer,2.99,1610777893
79,GT,Gate,13.71,1609072399
80,ALGO,Algorand,0.18,1605979679
81,HASH,Provenance Blockchain,0.03,1521094352
82,KAS,Kaspa,0.06,1513701343
83,IP,Story,4.64,1500531321
84,RSETH,Kelp DAO Restaked ETH,4118.58,1491061334
85,OSETH,StakeWise Staked ETH,4117.7,1477675056
86,ATOM,Cosmos Hub,3.06,1458139404
87,VET,VeChain,0.02,1411830043
88,WBNB,Wrapped BNB,1122.29,1402967272
89,SYRUPUSDT,syrupUSDT,1.1,1398855638
90,LSETH,Liquid Staked ETH,4191.83,1396834537
91,SKY,Sky,0.06,1349762666
92,SYRUPUSDC,Syrup USDC,1.13,1342301471
93,LBTC,Lombard Staked BTC,110137.0,1327899530
94,JUP,Jupiter,0.41,1326612895
95,PAXG,PAX Gold,3979.7,1324892490
96,BFUSD,BFUSD,1.0,1320027218
97,FLR,Flare,0.02,1287145402
98,PENGU,Pudgy Penguins,0.02,1272678005
99,EZETH,Renzo Restaked ETH,4141.65,1234679253
100,RENDER,Render,2.33,1209522888
